1676916789.740567000 57588,5000
1676916789.766347000 5000,57582
1676916789.784619000 5000,57570
1676916789.786964000 5000,57436
1676916789.807049000 5000,57526
1676916789.808950000 5000,57510
1676916789.826296000 5000,57536
1676916789.827354000 5000,57490
1676916789.827621000 5000,57562
1676916789.827873000 5000,57494
1676916789.831279000 5000,57546
1676916789.831545000 5000,57486
1676916789.831748000 5000,57470
1676916789.832062000 5000,57462
1676916789.832308000 5000,57576
1676916789.834643000 5000,57460
1676916789.874314000 5000,57446
